Country,Notes,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Togo,,43.1,41.9,50.7,45.9,49.1,50.1,25.4,30.9,"","","","","","","",28.8,31.7,33.2,"","",57,"",56.8,59,"","",
Uganda,,142,140,107,73.6,52.3,62.6,104,127,135,140,155,160,141,136,142,152,196,217,219,252,312,294,609,676,492,465,
Zambia,,86.7,168,139,86.2,97.8,51.1,62.9,55.3,37.8,43.4,"",56.1,"","","","",103,140,207,149,299,212,276,306,320,377,
Zimbabwe,28,"","","","","","","","","","","","",346,287,677,195,256,131,162,"","","",98.3,198,318,356,
Belize,,3.1,4.4,4.8,4.7,5.3,6.1,7.9,8.1,8,9.4,"",6,7.1,7.5,7.8,8.6,9.5,10.7,12.3,13.8,18.7,17.3,15.3,15.4,15.1,16.7,
Costa Rica,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,30,"","","","","","","","","","","","","","","",297,62,78.6,76.6,83.4,89.1,92.5,94.3,98.9,"","",
Dominican Rep.,,47.3,53.5,47.8,33.9,63.1,96,101,84.5,107,151,159,175,247,306,272,156,153,272,259,275,333,321,355,349,357,371,
El Salvador,31,213,240,202,187,179,166,159,161,161,162,161,164,169,191,204,166,162,170,185,200,209,215,226,256,273,266,
Guatemala,,125,129,113,102,131,123,140,145,130,132,140,124,158,197,158,179,115,104,131,136,166,147,170,197,224,259,
Haiti,32,2,2.2,2.7,2.6,1.7,1.6,1.6,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Honduras,33,"","","","","","","","","","","","",52.5,63,63.6,82.2,60.5,62.6,75.6,95.9,132,157,170,201,186,230,
Jamaica,,"",23.5,27.5,22.7,33.6,31.7,24.3,33.7,42.8,55.1,47.6,45.1,43.6,46.4,56.9,54.8,54.5,59.3,72.6,83.5,131,115,116,134,138,122,
Mexico,,982,1153,1327,1600,2000,2327,2889,1713,2064,2394,2481,2908,3323,3540,3479,3245,3129,3621,4083,4780,4940,4856,5897,6472,6979,7838,
Nicaragua,34,"","",1143,67.7,47.2,40.2,35.4,35.1,31.5,30.3,26.3,26.9,30.8,28.2,34.8,35.3,32.6,34.1,37.3,39.5,42.7,41.7,44.3,51.5,70.1,85.3,
Panama,35,103,102,73.1,78.6,78.8,95.2,101,96.6,101,118,104,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad & Tobago,,"","","","","",5.4,20.5,24.1,"","","","","",3.1,13.9,19.4,33.7,75.9,97.6,115,154,251,"","","","",
Canada,,9897,10747,11414,11339,10789,10269,9578,9177,8616,7945,7748,8211,8299,8375,8492,9959,11337,12986,14815,17419,19342,18938,19319,20474,20379,18460,
USA,36,293093,304085,306170,280292,305141,297637,288059,278856,271417,276324,274278,280969,301697,312743,356720,415223,464676,503353,527660,556961,621131,668567,698180,711338,684780,640221,
Argentina,,254,1360,1933,2694,3067,3173,3755,3802,3379,3341,3399,3462,3267,3184,1138,1375,1466,1699,1848,2296,2789,2982,3476,4052,4563,4511,
Bolivia,37,"",102,137,144,142,110,135,141,147,181,229,177,174,185,161,174,169,170,180,222,328,346,328,351,396,445,
Brazil,,5900,8725,24732,6697,5943,8450,11012,14319,14073,13934,14351,9861,11340,10891,9666,8394,9781,13591,16407,20486,24453,25654,34007,36932,33988,31456,
Chile,§ 38,1029,978,1031,1038,1169,1291,1466,1828,1904,2121,2112,2043,2103,1893,1780,1828,2492,3001,3730,3958,4546,3760,4707,5440,5476,5435,
Colombia,39,799,881,890,911,1102,1529,2005,2619,4319,2989,3390,3247,3028,3264,3348,3278,4057,4914,5327,6776,9051,9033,10422,10307,11706,13003,
Ecuador,40,198,189,202,209,211,276,291,475,419,499,549,296,266,384,505,739,710,954,950,1310,1646,1949,2094,2454,2590,2803,
Guyana,41,8.4,4.6,3.6,2,3.6,4.4,5.5,5.7,5.6,"","","",10.7,12.2,13.8,13.9,14.1,15.7,16.3,21.3,26,28.4,28.8,30.2,31.3,33.2,
Paraguay,42,"",74.8,89.4,143,142,108,120,149,143,174,145,121,114,94.5,72.4,65.7,87.5,80.8,110,136,178,178,216,302,339,477,
Peru,43,"",81.5,23.9,399,640,677,787,1001,989,1190,1155,1004,954,908,848,889,995,1159,1225,1253,1387,1712,1958,2029,2566,2865,
Uruguay,,260,298,328,269,367,419,450,524,576,575,573,574,562,524,344,277,288,361,404,431,593,651,788,902,971,1042,
Venezuela,44,"","","",984,993,1288,929,1199,733,1541,1451,1408,1788,1911,1071,988,1449,2054,2998,2970,4325,4020,3363,2385,4966,5313,
Kazakhstan,,"","","","","","",107,178,242,237,243,144,144,221,246,318,426,592,793,1360,1541,1272,1502,1804,2434,2799,
Kyrgyzstan,45,"","","","","","",28.7,51.6,54.6,55,43.8,32.5,39.4,35.8,43.8,55.1,63,75.7,89.8,116,149,149,184,211,212,234,
Tajikistan,,"","","","","",23.5,14.2,5.8,13.5,19.1,22.6,15.1,10.4,12.5,25.6,34.8,45.1,"","","","","","","","","",
Turkmenistan,46,"","","","","","",79.6,136,48.5,106,87.5,112,"","","","","","","","","","","","","","",
Uzbekistan,47,"","","","","","",86.9,113,172,218,"",250,115,59.8,45.9,54.1,"","","","","","","","","","",
Brunei,48,178,186,231,245,252,234,262,286,328,369,294,258,244,218,226,243,199,249,293,323,362,350,391,415,411,412,
Cambodia,,"","",29.1,43.3,62.3,44.6,107,123,114,103,83.3,88.2,80.3,70.7,67.6,67.8,67.7,72.4,94.7,94.4,124,236,178,204,217,243,
"China,P. R.",49,"",11686,10244,10012,12494,12704,10083,12525,15022,16044,18094,20560,22190,27413,31630,34771,40014,46290,56666,71740,91658,111785,123338,147268,167712,188460,
Indonesia,50,836,868,995,1045,1163,1191,1380,1527,1720,1593,614,813,"",766,1537,2317,2429,2146,2612,3349,3232,3304,4663,5838,7770,7840,
Japan,51,26200,24787,24974,28645,32927,39514,44534,48889,42550,38835,36599,43160,45976,40418,39113,42725,45585,44689,42180,41465,46755,51464,53796,60452,59564,48604,
North Korea,52,"","","","","","","","","","","","","","","","","","","","","","","","","","",
South Korea,53,8136,9658,10111,10991,11615,12378,13520,15480,16409,14848,10458,12095,13801,12942,14102,15847,17830,22160,25177,27726,26072,24409,27572,30884,31660,33937,
Laos,,"","","","",101,105,114,109,77.1,60.3,33.4,15.5,13.6,12.5,11.4,10.9,11.4,11.7,13.3,14.6,17.2,14,16.3,18.7,20,"",
Malaysia,,856,1019,1125,1572,1767,1923,2121,2444,2421,2089,1159,1663,1533,1934,2238,2882,2823,3120,3266,3970,4412,3964,3854,4807,4695,4842,
Mongolia,,"","",42.3,111,33.1,14.1,16.4,21.3,21.6,18.7,19.9,18,24.3,23.1,25.3,24.3,27.7,29.8,39.2,56.6,66.7,37.6,54.9,87.2,115,"",
Myanmar,54,"","","","","","","","","","","","","","","","","","","","","","","","","","",
Philippines,55,932,955,951,913,1079,1173,1392,1700,1879,1576,1226,1341,1303,1122,1199,1301,1243,1373,1607,2014,2271,2116,2438,2701,2899,3472,
Singapore,,1206,1410,1802,2023,2332,2481,2797,3673,4100,4457,4466,4493,4331,4309,4530,4724,5043,5464,5831,6519,7454,7535,8106,8921,9353,9759,
Taiwan,,7110,8142,8701,9304,10071,11653,11953,11470,11765,11325,9232,9569,8801,7982,7531,7473,7833,8011,7645,8157,8960,9123,9092,9998,10715,10530,
Thailand,,1806,1981,2321,2586,2972,3134,3561,3909,3988,3076,2042,1982,1827,1725,1813,1891,1867,1986,2446,3527,4458,4798,4971,5501,5478,5891,
Timor Leste,56,"","","","","","","","","","","","","","","","",3.3,8.2,17.1,23.7,23.7,36.5,26.4,20.5,29.8,29.2,
Viet Nam,57,1306,459,512,428,333,298,431,"","","","","","","","",842,915,1026,1287,1785,2138,2401,2672,2686,3361,3387,
Afghanistan,58,"","","","","","","","","","","","","","","",96.1,114,112,125,213,228,250,576,877,740,1293,
Bangladesh,,287,327,322,330,370,407,473,536,552,589,606,637,640,610,589,622,666,669,717,824,890,1088,1413,1578,1600,1818,
India,59,10889,10589,10537,8623,8083,8254,8880,9754,9905,11465,11921,13896,14288,14601,14753,16334,20238,23072,23952,28254,33002,38722,46090,49634,47214,47398,
Nepal,,35.8,36.3,37.9,35.4,37.6,37,39.3,39.8,39.5,42.6,42.3,47.5,51.4,64.7,85.4,103,131,159,157,170,187,210,255,285,255,258,
Pakistan,60,2722,2580,2810,3067,3389,3309,3321,3666,3548,3320,3219,3081,2973,2842,3273,3723,4128,4587,4969,5343,5227,5275,5975,6955,7479,7641,
Sri Lanka,61,165,126,187,277,327,355,437,764,767,699,733,631,822,675,572,542,619,644,791,1055,1511,1522,1532,1750,1533,1823,
Australia,,5858,6314,6710,7025,6890,6735,7465,7666,8203,7937,7108,7770,7274,7043,7947,9927,11995,13238,14240,17187,18634,18963,23221,26610,26158,23963,
Fiji,62,24.7,29.1,30.5,32.5,30.5,32,33.7,34.7,32.9,31,22.6,23.8,32,32.8,30.9,37.3,46.9,43.1,54.1,75.6,53.6,51.3,50.5,54.8,57,54.2,
New Zealand,,858,807,796,745,656,653,738,863,932,889,729,730,646,600,653,853,1009,1117,1119,1353,1391,1339,1595,1727,1754,1833,
Papua New Guinea,63,46.3,53.1,68.7,52.6,58.6,68.6,83.3,56.4,78.7,79.6,49.7,35.7,33.6,25.2,17,19.3,24.4,30.5,31.3,38.7,39.3,52,46.3,77.3,90.6,87.2,
Albania,§64,"","",66,"",33,39.3,49.7,50.9,45.7,29.8,33.6,42.8,45.4,53.2,58.6,76.1,101,110,141,195,256,249,190,197,184,167,
Armenia,65,"","","","","",9.8,"",52.2,52.4,64.1,66.8,68.2,68.1,66.2,64.1,76.6,98.1,141,188,280,396,359,395,391,381,427,
Austria,,1714,1623,1973,1994,2140,2115,2228,2558,2458,2165,2160,2124,1926,1789,1882,2382,2679,2686,2640,3500,3747,3334,3219,3411,3188,3230,
Azerbaijan,66,"","","","",11.1,77.5,43.9,66.2,71.6,92.1,107,120,120,132,140,177,228,305,717,947,1607,1473,1476,3079,3245,3440,
Belarus,,"","","","","","","",179,183,249,228,166,140,178,204,232,314,453,632,747,883,675,768,756,762,965,
Belgium,,4097,3881,4644,4625,4131,3746,3944,4449,4242,3684,3664,3599,3191,3036,3155,3876,4265,4229,4308,5078,6296,5619,5245,5502,5171,5264,
Bosnia-Herzegovina,67,"","","","","","","","","","","","","","",241,202,200,173,178,195,233,242,220,212,201,203,
Bulgaria,68,"","","","",256,283,242,311,214,244,320,357,351,406,456,569,651,699,751,1032,1038,963,894,829,808,838,
Croatia,69,"","","","",783,1169,1626,2061,1939,1797,1428,1036,660,630,734,710,731,799,849,979,1296,1129,1016,1106,955,957,
Cyprus,,244,245,411,418,630,268,298,299,448,534,484,290,282,328,243,289,338,376,388,405,454,471,478,480,415,455,
Czech Rep.,70,"","","","","",816,938,1065,1124,988,1166,1206,1157,1183,1494,1886,2042,2439,2450,2708,2919,2719,2498,2474,2221,2149,
Czechoslovakia,71,"","",2334,"","","","","","","","","","","","","","","","","","","","","","","",
Denmark,,2320,2184,2650,2672,2838,2682,2719,3118,3086,2805,2846,2785,2393,2525,2694,3199,3579,3468,3897,4175,4788,4337,4504,4518,4422,4553,
Estonia,72,"","","","",5.4,13.1,25.1,36.3,41.5,53,59.9,73.8,78.3,93.8,122,171,205,266,315,444,506,435,332,389,437,479,
Finland,,1704,1767,2141,2201,2076,1615,1756,1909,2022,1947,1960,1654,1558,1479,1615,2264,2647,2744,2862,3014,3615,3599,3400,3751,3072,3262,
France,73,36105,35317,42590,42703,45123,42591,44393,47768,46404,41308,40041,38897,33814,33277,36492,45917,53031,52917,54526,60565,66009,66869,61785,64633,60058,61228,
Georgia,74,"","","","","","","","",67.7,44,41.1,25.9,18.8,23.8,33.9,42.6,70.3,214,404,932,1090,604,454,469,457,443,
German DR,75,"","","","","","","","","","","","","","","","","","","","","","","","","","",
Germany,,35097,33605,42320,39517,41965,37215,36330,41160,38989,33217,33146,32604,28150,27426,29404,35055,38025,38060,38099,42531,48081,47460,46258,48164,46488,48790,
Greece,76,2750,2560,3193,3147,3623,3364,3587,4180,4613,4573,4824,5012,4564,4428,4746,5036,6270,7029,7609,8391,10574,10639,8164,7132,5917,5939,
Hungary,,1087,901,923,817,890,836,863,711,676,786,705,807,801,951,1084,1402,1533,1596,1410,1776,1868,1476,1351,1472,1322,1210,
Iceland,77,"","","","","","","","","","","","","","","","","","","","","",22.5,19.9,19.5,17.4,"",
Ireland,,398,384,603,600,654,585,633,702,751,765,742,742,695,768,811,965,1102,1145,1190,1372,1583,1415,1274,1301,1158,1197,
Italy,78,19621,19927,23378,24336,25003,20565,20364,19376,23443,22724,23478,23694,22411,22006,24422,30242,34132,33531,33414,35944,41244,38293,36034,38149,33746,32657,
Latvia,79,"","","","","",17.8,33.9,43.6,38.1,38,42,56.6,70,86.9,147,189,229,272,368,481,582,364,260,297,263,299,
Lithuania,80,"","","","","",20.8,21.1,30.5,42.3,75.6,138,106,140,167,181,211,271,304,352,442,541,405,326,345,328,355,
Luxembourg,,86,76,96.7,108,123,108,126,142,141,134,143,141,128,160,154,199,235,244,247,286,292,276,331,307,299,305,
"Macedonia,FYR ",81,"","","","","","","","",131,83.3,79,66.2,69.8,226,106,116,135,127,126,163,173,159,130,132,119,127,
Malta,,22.4,21.3,21.2,21.7,26.7,24.6,27.9,31.1,33.3,31.1,29.1,28,25.4,27.1,28.4,34.1,40.5,52.5,44.3,49,56,59.1,58.7,55.9,49.9,59.5,
Moldova,82,"","","","","","","",13.3,15.4,17.4,10.6,6,5.1,6,7,8.2,9.4,12,16.4,22.7,36.8,24.9,18.3,22.3,22.3,24.4,
Montenegro,83,"","","","","","","","","","","","","","","","","","",62.4,64.2,85.1,76.7,75.1,79.4,67.7,69.5,
Netherlands,,6729,6399,7421,7246,7904,7055,7137,8011,7829,6839,6836,7026,5972,6200,6744,8356,9381,9568,10220,11480,12375,12129,11221,11654,10596,10328,
Norway,,2895,2933,3395,3288,3804,3176,3403,3508,3537,3253,3325,3309,2922,2966,4066,4518,4887,4885,5012,5875,6371,6196,6499,7232,7143,7235,
Poland,84,1719,1494,1541,1722,1882,2123,2252,2719,3083,3192,3491,3227,3146,3631,3776,4150,4779,5896,6619,8589,9351,7904,8791,9455,8986,9257,
Portugal,,1348,1457,1875,2115,2533,2192,2174,2670,2601,2389,2336,2406,2204,2325,2608,3110,3721,4039,4067,4366,4812,4949,4719,4907,4139,4784,
Romania,,2570,2547,1752,1373,834,724,938,983,874,1075,1254,955,936,986,1056,1250,1530,1976,2251,2608,3000,2225,2086,2380,2331,2521,
Russia/USSR,85,246011,218760,219114,"",4070,7766,13548,12741,15826,17577,7956,6469,9228,11683,13944,16974,20955,27337,34518,43535,56184,51533,58720,70238,81079,87837,
Serbia,86,"","","","","","","","",802,914,642,737,337,494,679,731,739,630,705,972,1112,974,872,987,854,921,
Slovak Rep.,,"","","","","",267,300,630,642,500,398,327,342,394,440,625,711,823,911,1133,1402,1343,1130,1061,1016,994,
Slovenia,,"","","","",281,230,238,335,330,292,301,275,222,271,327,417,493,514,609,693,829,799,772,666,543,545,
Spain,,7171,7800,9053,9115,9063,8251,7425,8651,8617,7671,7524,7556,7001,7134,7937,9691,11345,11824,14434,16724,18686,16939,14744,13990,13918,12765,
Sweden,87,4918,5033,6169,6219,6419,5011,5154,5730,6203,5203,5132,5149,4861,4128,4355,5306,5515,5518,5577,6386,6025,5063,5886,6324,6239,6519,
Switzerland,88,3276,3082,4056,4017,4138,3611,3899,4645,4239,3498,3494,3147,2800,2764,2882,3269,3504,3485,3329,3525,4098,4056,4115,4974,4591,5053,
Turkey,,2664,3374,5315,5671,6158,7075,5293,6606,7512,7792,8781,9952,9994,7216,9050,10278,10921,12081,13124,15088,16908,16150,17747,17181,18109,19085,
UK,89,34304,33499,38944,42074,40775,34086,34494,34248,34491,35675,36868,36457,35255,35332,39673,46943,53970,55152,57483,65986,65615,57907,58099,60284,58500,57891,
Ukraine,§ 90,"","","","","",152,919,1047,1465,2069,1405,942,1137,1089,1176,1428,1685,2405,2986,4096,4811,3347,3710,3922,4607,5338,
Bahrain,92,186,197,216,237,252,251,256,273,289,290,296,327,322,335,398,464,479,486,539,589,659,762,776,878,953,1236,
Egypt,,5699,4482,2242,1722,1864,2031,2153,2347,2364,2509,2786,2910,3124,2985,2831,2384,2368,2659,2953,3307,3780,4017,4289,4287,4376,4255,
Iran,93,5882,8614,10622,12571,14064,1196,1762,1900,2718,3550,4417,7407,12452,15385,3360,3860,5335,7213,8546,8239,7608,7946,9478,11007,10628,"",
Iraq,94,"","","","","","","","","","","","","","","","",614,1120,1236,1942,2873,2968,3581,5905,6054,7896,
Israel,95,7762,6656,7615,10628,8613,8920,8832,8567,9584,9924,9508,9270,9932,10318,10886,11416,11040,10754,11786,12661,14663,14185,14773,15510,15066,16032,
Jordan,,588,383,322,433,368,391,408,300,417,444,496,512,529,529,523,612,587,604,702,1032,1341,1404,1367,1385,1246,1196,
Kuwait,,1704,2076,8976,12937,6317,2980,3295,3693,3241,2455,2280,2286,2697,2686,2821,3131,3447,3509,3600,4119,4428,4206,4329,5393,5940,5815,
Lebanon,,39.3,"",214,229,443,453,637,746,736,678,694,830,930,959,907,923,955,963,1009,1152,1169,1426,1585,1627,1757,1936,
Oman,96,1532,1562,1931,1673,2023,1920,2027,2018,1916,1976,1758,1787,2100,2423,2488,2622,2974,3652,4030,4326,4617,4490,4895,6668,12334,9246,
Qatar,,983,848,791,896,"","","","","","","","","","",761,785,772,888,1066,1562,2318,1948,1877,"","","",
Saudi Arabia,§ 97,13355,12750,16355,16355,15360,16451,14280,13200,13340,18127,20862,18320,19964,21027,18502,18747,20910,25393,29581,35465,38223,41273,45245,48531,56498,66996,
Syria,98,3467,1382,1529,2695,2772,1328,1605,958,995,1047,1096,1128,897,1023,1103,1436,1389,1450,1435,1599,1732,2182,2346,2495,"","",
UAE,99,"","","","","","","","","",3336,4010,4233,5876,5798,5353,5834,6816,6603,7164,8460,11572,13836,17505,19182,19024,"",
Yemen,100,"","",807,1028,1307,1535,2353,806,416,397,385,395,474,540,737,807,735,816,822,1050,1196,"","",1164,1439,1416,
